,25%,50%,75%,Count,Max,Mean,Min,Stdev
[CPU]User%,7.0,34.0,96.0,522,98.0,47.714559387,1.0,42.1210774067
[CPU]Nice%,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[CPU]Sys%,2.0,3.0,4.0,522,84.0,4.36973180077,1.0,6.24816929233
[CPU]Wait%,0.0,1.0,2.0,522,90.0,9.31609195402,0.0,21.9895650016
[CPU]Irq%,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[CPU]Soft%,0.0,0.0,0.0,522,2.0,0.0900383141762,0.0,0.299610108873
[CPU]Steal%,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[CPU]Idle%,0.0,1.0,89.0,522,92.0,38.3812260536,0.0,42.1860684178
[CPU]Totl%,10.0,40.0,100.0,522,100.0,52.3352490421,7.0,42.2939700992
[CPU]Intrpt/sec,18.0,18.0,18.0,522,19.0,18.0,17.0,0.107314094038
[CPU]Ctx/sec,1226.25,1291.0,1436.0,522,85382.0,1673.59386973,1115.0,4173.01067755
[CPU]Proc/sec,0.0,0.0,1.0,522,31.0,0.83908045977,0.0,2.32423712893
[CPU]ProcQue,356.0,358.0,367.0,522,390.0,362.921455939,355.0,10.4919107578
[CPU]ProcRun,1.0,1.0,2.0,522,31.0,2.66091954023,0.0,5.4089892405
[CPU]L-Avg1,1.55,12.85,17.925,522,34.69,11.1373563218,0.45,8.39422554832
[CPU]L-Avg5,1.96,14.965,16.8975,522,21.88,10.9424521073,1.4,7.37544677215
[CPU]L-Avg15,2.06,11.27,14.99,522,15.59,9.06076628352,1.73,6.07280576448
[CPU]RunTot,0.0,1.0,2.0,522,31.0,1.62835249042,0.0,3.66754201871
[CPU]BlkTot,0.0,0.0,4.0,522,37.0,5.2183908046,0.0,9.90502920478
[MEM]Tot,3523128.0,3523128.0,3523128.0,522,3523128.0,3523128.0,3523128.0,0.0
[MEM]Used,629465.0,747104.0,1087581.0,522,3334348.0,875203.655172,493700.0,374754.022934
[MEM]Free,2435547.0,2776024.0,2893663.0,522,3029428.0,2647924.34483,188780.0,374754.022934
[MEM]Shared,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]Buf,5542.0,7090.0,9968.0,522,11596.0,7562.43678161,1872.0,2551.91746072
[MEM]Cached,58000.0,85240.0,97807.0,522,1086908.0,226433.532567,37700.0,293680.254851
[MEM]Slab,54276.0,54340.0,58971.0,522,81860.0,58752.091954,53432.0,7948.00380733
[MEM]Map,33572.0,36046.0,47172.0,522,52044.0,39718.4214559,25668.0,7455.0187724
[MEM]Anon,330416.0,357270.0,374683.0,522,2967488.0,386817.969349,207680.0,254470.450768
[MEM]Commit,2296951.0,2297440.0,2299392.0,522,55159284.0,4045587.42529,2271228.0,8643020.38135
[MEM]Locked,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]SwapTot,4194300.0,4194300.0,4194300.0,522,4194300.0,4194300.0,4194300.0,0.0
[MEM]SwapUsed,1031580.0,1047224.0,1069591.0,522,1151100.0,1054809.4636,1029312.0,27098.2175638
[MEM]SwapFree,3124709.0,3147076.0,3162720.0,522,3164988.0,3139490.5364,3043200.0,27098.2175638
[MEM]SwapIn,0.0,0.0,2.0,522,4024.0,36.8390804598,0.0,243.806397512
[MEM]SwapOut,0.0,0.0,0.0,522,5920.0,284.19348659,0.0,1178.17571942
[MEM]Dirty,1797.0,2220.0,4117.0,522,484396.0,94385.1264368,4.0,170570.854517
[MEM]Clean,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]Laundry,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]Inactive,21596.0,39004.0,62317.0,522,1048300.0,186308.97318,7672.0,294364.080955
[MEM]PageIn,1.0,2.0,18.0,522,16658.0,212.289272031,0.0,1169.13115641
[MEM]PageOut,27.0,145.5,18655.25,522,42340.0,7434.46360153,0.0,11355.0054076
[MEM]PageFaults,155.0,231.0,347.75,522,7224.0,621.199233716,9.0,1199.82886118
[MEM]PageMajFaults,0.0,0.0,2.0,522,1944.0,27.3314176245,0.0,158.05034345
[MEM]HugeTotal,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]HugeFree,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]HugeRsvd,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[MEM]SUnreclaim,26316.0,26348.0,27078.0,522,33256.0,26665.5172414,26184.0,626.327538052
[NET]RxPktTot,7.0,8.0,10.0,522,82.0,8.81800766284,0.0,4.81952816001
[NET]TxPktTot,11.0,13.0,16.0,522,95.0,13.5191570881,0.0,6.01666087771
[NET]RxKBTot,1.0,1.0,2.0,522,17.0,1.65325670498,0.0,1.44392264269
[NET]TxKBTot,3.0,4.0,5.0,522,18.0,4.06896551724,0.0,1.39612655918
[NET]RxCmpTot,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[NET]RxMltTot,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[NET]TxCmpTot,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[NET]RxErrsTot,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[NET]TxErrsTot,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0
[DSK]ReadTot,0.0,1.0,3.0,522,2183.0,34.2337164751,0.0,191.968054997
[DSK]WriteTot,2.0,24.0,63.0,522,219.0,37.7413793103,0.0,42.8670686907
[DSK]OpsTot,3.0,33.5,73.75,522,2187.0,72.061302682,1.0,196.048820932
[DSK]ReadKBTot,1.0,2.0,17.75,522,17494.0,232.95210728,0.0,1304.11783363
[DSK]WriteKBTot,29.0,150.5,19586.25,522,167164.0,13596.0689655,0.0,29591.4806235
[DSK]KbTot,38.0,240.5,19828.0,522,167183.0,13828.9655172,12.0,29566.4141809
[DSK]ReadMrgTot,0.0,0.0,0.0,522,2136.0,11.153256705,0.0,104.916471112
[DSK]WriteMrgTot,4.0,6.0,9.0,522,5856.0,286.471264368,0.0,1159.50421107
[DSK]MrgTot,4.0,6.0,10.0,522,5861.0,297.637931034,0.0,1164.69973276
